bill_id,title,ministry,Member,introduction_date,Debate/Date Passed in LS,Debate/Date Passed in RS,status,Act No,Assent Date,Gazeette Notification,Referred to Committee Date,year,is_amendment,is_appropriation,is_finance
97,"The  Bihar Appropriation  (Vote  on Account)  No.2 Bill, 2005                                                                                                                                           ",Unknown,,2005-08-05,5 Aug 2005,16 Aug 2005,Assented,33  of 2005,24/08/2005 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2005-97-gaz.pdf?source=loksabhadocs,,2005,0,1,0
154,"The Warehousing (Development and Regulation) Bill, 2005.                                                                                                                                                ",FINANCE,,2005-07-12,15 Jul 2007,22 Aug 2008,Assented,37  of 2007,19/09/2007 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2005-154-gaz.pdf?source=loksabhadocs,,2005,0,0,0
72,"The Banking Regulation (Amendment) Bill, 2005                                                                                                                                                           ",FINANCE,,2005-05-13,,,Lapsed,,,,,2005,1,0,0
76,"The Reserve Bank of India (Amendment) Bill, 2005                                                                                                                                                        ",FINANCE,,2005-05-13,17 May 2005,18 May 2005,Assented,26  of 2006,12/06/2006 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2005-76-gaz.pdf?source=loksabhadocs,,2005,1,0,0
73,"The High Court  and Supreme Court Judges (Salaries and  Conditions of  Service) Amendment Bill, 2005                                                                                                    ",Unknown,,2005-05-12,24 Aug 2005,30 Aug 2005,Assented,46  of 2005,15/09/2006 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2005-73-gaz.pdf?source=loksabhadocs,,2005,1,0,0
74,"The Taxation Laws (Amendment) Bill, 2005                                                                                                                                                                ",FINANCE,,2005-05-12,17 May 2006,22 May 2006,Assented,29  of 2006,13/07/2006 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2005-74-gaz.pdf?source=loksabhadocs,,2005,1,0,0
75,"The Small and Medium Enterprises Development Bill, 2005                                                                                                                                                 ",Unknown,,2005-05-12,18 May 2006,22 May 2006,Assented,27  of 2006,16/06/2006 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2005-75-gaz.pdf?source=loksabhadocs,,2005,0,0,0
68,"The Admiralty Bill, 2005                                                                                                                                                                                ","SHIPPING, ROAD TRANSPORT AND HIGHWAYS",,2005-05-11,,,Lapsed,,,,,2005,0,0,0
70,"The Weapons of Mass Destruction and Their Delievery Systems (Prohibition of Unlawful Activities) Bill, 2005                                                                                             ",EXTERNAL AFFAIRS,,2005-05-10,12 May 2005,13 May 2005,Assented,21  of 2005,06/06/2005 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2005-70-gaz.pdf?source=loksabhadocs,,2005,0,0,0
71,"The Bihar Value Added Tax Bill, 2005                                                                                                                                                                    ",Unknown,,2005-05-10,11 May 2005,12 May 2005,Assented,27  of 2005,23/06/2005 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2005-71-gaz.pdf?source=loksabhadocs,,2005,0,0,0
69,"The Special Economic Zones Bill, 2005                                                                                                                                                                   ",COMMERCE AND INDUSTRY,,2005-05-09,10 May 2005,11 May 2005,Assented,28  of 2005,23/06/2005 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2005-69-gaz.pdf?source=loksabhadocs,,2005,0,0,0
64,"The Prevention of Money-Laundering (Amendment) Bill, 2005                                                                                                                                               ",Unknown,,2005-04-29,6 May 2005,11 May 2005,Assented,20  of 2005,21/05/2005 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2005-64-gaz.pdf?source=loksabhadocs,,2005,1,0,0
65,"The Appropriation (No.2) Bill, 2005                                                                                                                                                                     ",Unknown,,2005-04-27,27 Apr 2005,29 Apr 2005,Assented,17  of 2005,07/05/2005 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2005-65-gaz.pdf?source=loksabhadocs,,2005,0,1,0
62,"The Appropriation (Railways) No.2 Bill, 2005                                                                                                                                                            ",RAILWAYS,,2005-04-20,20 Apr 2005,27 Apr 2005,Assented,16  of 2005,07/05/2005 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2005-62-gaz.pdf?source=loksabhadocs,,2005,0,1,0
36,"The Pension Fund Regulatory and Development Authority Bill, 2005                                                                                                                                        ",LABOUR  AND  EMPLOYMENT,,2005-03-21,,,Lapsed,,,,,2005,0,0,0
41,"The Actuaries Bill, 2005                                                                                                                                                                                ",FINANCE,,2005-03-19,2 Aug 2006,10 Aug 2006,Assented,35  of 2006,27/08/2006 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2005-41-gaz.pdf?source=loksabhadocs,,2005,0,0,0
48,"The Bihar Appropriation (Vote on Account) Bill, 2005                                                                                                                                                    ",Unknown,,2005-03-19,19 Mar 2005,21 Mar 2005,Assented,12  of 2005,24/03/2005 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2005-48-gaz.pdf?source=loksabhadocs,,2005,0,1,0
49,"The Bihar Appropriation Bill,2005                                                                                                                                                                       ",FINANCE,,2005-03-19,19 Mar 2005,21 Mar 2005,Assented,13  of 2005,24/03/2005 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2005-49-gaz.pdf?source=loksabhadocs,,2005,0,1,0
32,"The Patents   (Amendment) Bill, 2005                                                                                                                                                                    ",AGRICULTURE,,2005-03-18,22 Mar 2005,23 Mar 2005,Assented,15  of 2005,04/04/2005 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2005-32-gaz.pdf?source=loksabhadocs,,2005,1,0,0
46,"The Goa Appropriation (Vote on Account) Bill, 2005                                                                                                                                                      ",Unknown,,2005-03-18,18 Mar 2005,19 Mar 2005,Assented,10  of 2005,24/03/2005 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2005-46-gaz.pdf?source=loksabhadocs,,2005,0,1,0
47,"The Goa Appropriation Bill, 2005                                                                                                                                                                        ",Unknown,,2005-03-18,18 Mar 2005,19 Mar 2005,Assented,11  of 2005,24/03/2005 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2005-47-gaz.pdf?source=loksabhadocs,,2005,0,1,0
44,"The Appropriation (Vote on Account) Bill, 2005                                                                                                                                                          ",Unknown,,2005-03-17,17 Mar 2005,18 Mar 2005,Assented,8  of 2005,23/03/2005 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2005-44-gaz.pdf?source=loksabhadocs,,2005,0,1,0
45,"The Appropriation Bill, 2005                                                                                                                                                                            ",Unknown,,2005-03-17,17 Mar 2005,18 Mar 2005,Assented,9  of 2005,23/03/2005 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2005-45-gaz.pdf?source=loksabhadocs,,2005,0,1,0
37,"The Appropriation  (Railways) Vote on Account Bill, 2005                                                                                                                                                ",RAILWAYS,,2005-03-15,15 May 2005,17 May 2005,Assented,6  of 2005,23/05/2005 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2005-37-gaz.pdf?source=loksabhadocs,,2005,0,1,0
40,"The Appropriation (Railways) Bill, 2005                                                                                                                                                                 ",RAILWAYS,,2005-03-15,15 Mar 2005,17 Mar 2005,Assented,7  of 2005,23/03/2005 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2005-40-gaz.pdf?source=loksabhadocs,,2005,0,1,0
39,"The Governament of Union Territories and the Governament of National Capital Territory of Delhi (Amendment) Bill, 2005                                                                                  ",HOME AFFAIRS,,2005-03-10,3 May 2005,5 May 2005,Assented,19  of 2005,21/05/2005 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2005-39-gaz.pdf?source=loksabhadocs,,2005,1,0,0
35,"The Finance Bill,2005                                                                                                                                                                                   ",Unknown,,2005-02-28,,,Assented,18  of 2005,13/05/2005 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2005-35-gaz.pdf?source=loksabhadocs,,2005,0,0,1
104,"The Constitution (One Hundred and Third Amendment) Bill, 2004                                                                                                                                           ",SOCIAL JUSTICE AND EMPOWERMENT,,2004-12-23,,,Lapsed,,,,,2004,1,0,0
105,"The National Commission for Minorities (Repeal) Bill, 2004                                                                                                                                              ",SOCIAL JUSTICE AND EMPOWERMENT,,2004-12-23,,,Lapsed,,,,,2004,0,0,0
107,"The Right to Information Bill, 2005                                                                                                                                                                 ","PERSONNEL,  PUBLIC  GRIEVANCES  AND  PENSIONS",,2004-12-23,11 May 2005,12 May 2005,Assented,22  of 2005,15/06/2005 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2004-107-gaz.pdf?source=loksabhadocs,,2004,0,0,0
108,"The Merchant Shipping (Amendment) Bill, 2004                                                                                                                                                            ",SHIPPING,,2004-12-23,14 Aug 2007,6 Sep 2007,Assented,40  of 2007,24/09/2007 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2004-108-gaz.pdf?source=loksabhadocs,,2004,1,0,0
101,"The Government Securities Bill, 2004                                                                                                                                                                    ",FINANCE,,2004-12-21,7 Aug 2006,14 Aug 2006,Assented,38  of 2006,30/08/2006 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2004-101-gaz.pdf?source=loksabhadocs,,2004,0,0,0
103,"The Appropriation (No.4) Bill, 2004                                                                                                                                                                     ",Unknown,,2004-12-21,21 Dec 2004,21 Dec 2004,Assented,3  of 2005,11/01/2005 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2004-103-gaz.pdf?source=loksabhadocs,,2004,0,1,0
106,"The National Rural Employment Guarantee Bill, 2004                                                                                                                                                      ",RURAL DEVELOPMENT,,2004-12-21,23 Aug 2005,24 Aug 2005,Assented,42  of 2005,05/09/2005 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2004-106-gaz.pdf?source=loksabhadocs,,2004,0,0,0
106,"The National  Rural Employment  Guarantee Bill, 2005                                                                                                                                                    ",RURAL DEVELOPMENT,,2004-12-21,23 Aug 2005,24 Aug 2005,Passed,,,,,2004,0,0,0
102,"The Andhra Pradesh Legislative Council Bill, 2004                                                                                                                                                       ",LAW AND JUSTICE,,2004-12-16,15 Dec 2005,20 Dec 2005,Assented,1  of 2006,11/01/2006 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2004-102-gaz.pdf?source=loksabhadocs,,2004,0,0,0
98,"The State Emblem of India (Prohibition of Improper use) Bill, 2004                                                                                                                                      ",HOME AFFAIRS,,2004-12-10,6 Dec 2005,12 Dec 2005,Assented,50  of 2005,20/12/2005 ,,,2004,0,0,0
99,"The Special Tribunals (Supplementary Provisions) Repeal Bill, 2004                                                                                                                                      ","PERSONNEL,  PUBLIC  GRIEVANCES  AND  PENSIONS",,2004-12-10,13 Dec 2004,15 Dec 2004,Assented,28  of 2004,24/12/2004 ,,,2004,0,0,0
100,"The Appropriation (Railways) No.4 Bill, 2004                                                                                                                                                            ",RAILWAYS,,2004-12-08,8 Dec 2004,13 Dec 2004,Assented,27  of 2004,13/12/2004 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2004-100-gaz.pdf?source=loksabhadocs,,2004,0,1,0
96,"The National  Commissions for Minority  Educational Institutions Bill, 2004                                                                                                                             ",HUMAN RESOURCE  DEVELOPMENT,,2004-12-07,16 Dec 2004,21 Dec 2004,Assented,2  of 2005,06/01/2005 ,,,2004,0,0,0
94,"The National  Tax Tribunal  Bill, 2004                                                                                                                                                                  ",Unknown,,2004-12-06,29 Nov 2005,7 Dec 2005,Assented,49  of 2005,20/12/2005 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2004-94-gaz.pdf?source=loksabhadocs,,2004,0,0,0
95,"The Securities  Laws (Amendment) Bill, 2004                                                                                                                                                             ",Unknown,,2004-12-06,7 Dec 2004,16 Dec 2004,Assented,1  of 2005,06/01/2005 ,,,2004,1,0,0
97,"The Enforcement  of  Security Interest  and Recovery of  Debts Laws  (Amendment) Bill, 2004                                                                                                             ",Unknown,,2004-12-06,7 Dec 2004,16 Dec 2004,Assented,36  of 2004,29/12/2004 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2004-97-gaz.pdf?source=loksabhadocs,,2004,1,0,0
92,"The Prevention of   Terrorism  (Repeal) Bill, 2004                                                                                                                                                      ",HOME AFFAIRS,,2004-12-02,6 Dec 2004,9 Dec 2004,Assented,26  of 2004,21/12/2004 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2004-92-gaz.pdf?source=loksabhadocs,,2004,0,0,0
93,"The  Unlawful Activities (Prevention) Amendment Bill, 2004                                                                                                                                              ",HOME AFFAIRS,,2004-12-02,6 Dec 2004,9 Dec 2004,Assented,29  of 2004,29/12/2004 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2004-93-gaz.pdf?source=loksabhadocs,,2004,1,0,0
87,"The Contempt of  Courts (Amendment) Bill, 2004                                                                                                                                                          ",LAW AND JUSTICE,,2004-12-01,21 Feb 2006,3 Mar 2006,Assented,6  of 2006,17/03/2006 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2004-87-gaz.pdf?source=loksabhadocs,,2004,1,0,0
