url,title,ministry,status,house,introduction_date,passed_ls,passed_rs,assent_date,type,short_title,bill_id,total_actions
https://prsindia.org/billtrack/the-constitution-115th-amendment-bill-2011-gst-bill,The Constitution (115th Amendment) Bill 2011 (GST Bill),Finance,Introduced,Lok Sabha,,,,,Government,The Constitution (115th Amendment) Bill 2011 (GST Bill),1561,5
https://prsindia.org/billtrack/the-special-economic-zones-amendment-ordinance-2019,"The Special Economic Zones (Amendment) Ordinance, 2019",Law and Justice,Unknown,Unknown,,,,,Government,The Special Economic Zones (Amendment) Ordinance,1562,5
https://prsindia.org/billtrack/the-central-educational-institutions-reservation-in-admission-bill-2006,"The Central Educational Institutions (Reservation in Admission) Bill, 2006",,Passed,Lok Sabha,,,,,Government,The Central Educational Institutions (Reservation in Admission) Bill,1563,5
https://prsindia.org/billtrack/the-homoeopathy-central-council-amendment-bill-2005,"The Homoeopathy Central Council (Amendment) Bill, 2005",Health and Family Welfare,Withdrawn,Rajya Sabha,,,,,Government,The Homoeopathy Central Council (Amendment) Bill,1564,5
https://prsindia.org/billtrack/the-transgender-persons-protection-of-rights-bill-2019,"The Transgender Persons (Protection of Rights) Bill, 2019",Social Justice and Welfare,Passed,Lok Sabha,,,,,Government,The Transgender Persons (Protection of Rights) Bill,1565,5
https://prsindia.org/billtrack/the-taxation-and-other-laws-relaxation-and-amendment-of-certain-provisions-bill-2020,"The Taxation and Other Laws (Relaxation and Amendment of Certain Provisions) Bill, 2020",Finance,Passed,Lok Sabha,,,,,Government,The Taxation and Other Laws (Relaxation and Amendment of Certain Provisions) Bill,1566,5
https://prsindia.org/billtrack/draft-transgender-persons-protection-of-rights-rules-2020,"Draft Transgender Persons (Protection of Rights) Rules, 2020",Social Justice and Welfare,Unknown,Lok Sabha,,,,,Government,Draft Transgender Persons (Protection of Rights) Rules,1567,5
https://prsindia.org/billtrack/the-criminal-law-amendment-bill-2018,"The Criminal Law (Amendment) Bill, 2018",Law and Justice,Passed,Lok Sabha,,,,,Government,The Criminal Law (Amendment) Bill,1568,5
https://prsindia.org/billtrack/the-mental-health-care-bill-2013,"The Mental Health Care Bill, 2013",Health,Passed,Lok Sabha,,,,,Government,The Mental Health Care Bill,1569,5
https://prsindia.org/billtrack/the-companies-amendment-ordinance-2019,"The Companies (Amendment) Ordinance, 2019",Law and Justice,Passed,Lok Sabha,,,,,Government,The Companies (Amendment) Ordinance,1570,5
https://prsindia.org/billtrack/the-prevention-of-bribery-of-foreign-public-officials-and-officials-of-public-international-organisations-bill-2011,"The Prevention of Bribery of Foreign Public Officials and Officials of Public International Organisations Bill, 2011","Personnel, Grievances and Pensions",Introduced,Lok Sabha,,,,,Government,The Prevention of Bribery of Foreign Public Officials and Officials of Public International Organisations Bill,1571,5
https://prsindia.org/billtrack/the-constitution-112th-amendment-bill-2009-amendment-of-article-243t,"The Constitution (112th Amendment) Bill, 2009 (Amendment of article 243T)",Urban Development,Introduced,Lok Sabha,,,,,Government,The Constitution (112th Amendment) Bill,1572,5
https://prsindia.org/billtrack/the-national-institutes-of-technology-science-education-and-research-amendment-bill-2013,"The National Institutes of Technology, Science Education and Research (Amendment) Bill, 2013",Human Resource Development,Passed,Lok Sabha,,,,,Government,The National Institutes of Technology,1573,5
https://prsindia.org/billtrack/the-cost-and-works-accountants-amendment-bill-2010,"The Cost and Works Accountants (Amendment) Bill, 2010",Commerce and Industry,Passed,Lok Sabha,,,,,Government,The Cost and Works Accountants (Amendment) Bill,1574,5
https://prsindia.org/billtrack/the-aadhaar-and-other-laws-amendment-ordinance-2019,"The Aadhaar and other Laws (Amendment) Ordinance, 2019",Law and Justice,Pending,Lok Sabha,,,,,Government,The Aadhaar and other Laws (Amendment) Ordinance,1575,5
https://prsindia.org/billtrack/the-public-premises-eviction-of-unauthorised-occupants-amendment-bill-2011,"The Public Premises (Eviction of Unauthorised Occupants) Amendment Bill, 2011",Urban Development,Introduced,Lok Sabha,,,,,Government,The Public Premises (Eviction of Unauthorised Occupants) Amendment Bill,1576,5
https://prsindia.org/billtrack/the-prevention-of-corruption-amendment-bill-2013,"The Prevention of Corruption (Amendment) Bill, 2013","Personnel, Grievances and Pensions",Passed,Lok Sabha,,,,,Government,The Prevention of Corruption (Amendment) Bill,1577,5
https://prsindia.org/billtrack/the-insolvency-and-bankruptcy-code-second-amendment-bill-2019,"The Insolvency and Bankruptcy Code (Second Amendment) Bill, 2019",Finance,Passed,Lok Sabha,,,,,Government,The Insolvency and Bankruptcy Code (Second Amendment) Bill,1578,5
https://prsindia.org/billtrack/the-sugar-development-fund-amendment-bill-2008,"The Sugar Development Fund (Amendment) Bill, 2008",,Passed,Lok Sabha,,,,,Government,The Sugar Development Fund (Amendment) Bill,1579,5
https://prsindia.org/billtrack/the-enemy-property-amendment-and-validation-bill-2010,"The Enemy Property (Amendment and Validation) Bill, 2010",Home Affairs,Withdrawn,Lok Sabha,,,,,Government,The Enemy Property (Amendment and Validation) Bill,1580,5
https://prsindia.org/billtrack/the-boilers-bill-2024,"The Boilers Bill, 2024",Commerce and Industry,Passed,Lok Sabha,,,,,Government,The Boilers Bill,1581,5
https://prsindia.org/billtrack/the-indian-medical-council-amendment-ordinance-2013,"The Indian Medical Council (Amendment) Ordinance, 2013",Health,Unknown,Unknown,,,,,Government,The Indian Medical Council (Amendment) Ordinance,1582,5
https://prsindia.org/billtrack/the-jammu-and-kashmir-reorganisation-amendment-bill-2023,"The Jammu and Kashmir Reorganisation (Amendment) Bill, 2023",Home Affairs,Passed,Lok Sabha,,,,,Government,The Jammu and Kashmir Reorganisation (Amendment) Bill,1583,5
https://prsindia.org/billtrack/the-seeds-bill-2004,"The Seeds Bill, 2004",Agriculture,Introduced,Rajya Sabha,,,,,Government,The Seeds Bill,1584,5
https://prsindia.org/billtrack/the-factories-amendment-bill-2005,"The Factories (Amendment) Bill, 2005",,Introduced,Lok Sabha,,,,,Government,The Factories (Amendment) Bill,1585,5
https://prsindia.org/billtrack/the-protection-and-utilisation-of-public-funded-intellectual-property-bill-2008,"The Protection and Utilisation of Public Funded Intellectual Property Bill, 2008",Science and Technology,Withdrawn,Rajya Sabha,,,,,Government,The Protection and Utilisation of Public Funded Intellectual Property Bill,1586,5
https://prsindia.org/billtrack/the-major-port-authorities-bill-2020,"The Major Port Authorities Bill, 2020",Shipping,Passed,Lok Sabha,,,,,Government,The Major Port Authorities Bill,1587,5
https://prsindia.org/billtrack/the-forest-conservation-amendment-bill-2023,"The Forest (Conservation) Amendment Bill, 2023","Environment, Forests and Climate Change",Passed,Lok Sabha,,,,,Government,The Forest (Conservation) Amendment Bill,1588,5
https://prsindia.org/billtrack/the-lokpal-and-lokayuktas-and-other-related-law-amendment-bill-2014,"The Lokpal and Lokayuktas and other related Law (Amendment) Bill, 2014","Personnel, Grievances and Pensions",Introduced,Lok Sabha,,,,,Government,The Lokpal and Lokayuktas and other related Law (Amendment) Bill,1589,5
